item_id,order_id,product_id,quantity
1,1,9,3
2,1,166,3
3,1,69,1
4,2,276,3
5,2,259,2
6,3,22,3
7,4,291,1
8,5,257,2
9,6,295,3
10,7,39,3
11,7,210,2
12,7,212,3
13,8,224,3
14,8,37,1
15,9,39,3
16,9,281,1
17,9,136,3
18,10,213,2
19,10,83,2
20,10,10,1
21,11,280,1
22,11,38,2
23,11,24,2
24,12,182,2
25,12,43,1
26,12,171,2
27,13,30,3
28,14,234,1
29,14,41,3
30,14,79,3
31,15,205,2
32,16,200,2
33,16,87,3
34,16,264,1
35,17,88,3
36,17,12,2
37,17,85,1
38,18,73,2
39,18,152,2
40,18,93,2
41,18,203,3
42,19,112,2
43,20,127,1
44,21,195,2
45,21,64,3
46,21,63,2
47,21,289,1
48,22,139,1
49,23,184,1
50,23,284,1
51,24,150,1
52,24,48,2
53,24,261,1
54,24,104,1
55,25,186,1
56,25,179,1
57,25,78,1
58,25,12,1
59,26,59,3
60,27,207,1
61,27,126,2
62,27,235,2
63,27,143,2
64,28,132,3
65,28,53,2
66,29,92,3
67,30,68,1
68,30,201,1
69,31,229,3
70,31,62,3
71,31,11,2
72,31,25,1
73,32,282,1
74,32,267,2
75,32,87,1
76,33,61,2
77,34,251,3
78,35,170,3
79,35,105,1
80,35,24,1
81,36,235,3
82,36,236,2
83,37,59,2
84,37,33,3
85,37,287,3
86,38,66,1
87,39,113,1
88,39,176,1
89,39,147,1
90,40,194,2
91,40,232,3
92,40,101,2
93,40,31,3
94,41,74,1
95,41,223,3
96,41,263,1
97,42,88,1
98,42,168,3
99,43,216,3
100,43,289,1
101,43,273,3
102,43,38,2
103,44,249,2
104,44,59,2
105,45,127,3
106,45,76,1
107,46,183,1
108,46,7,1
109,46,78,2
110,47,168,2
111,47,250,1
112,47,110,1
113,48,156,1
114,48,276,2
115,48,249,3
116,48,7,2
117,49,195,2
118,50,12,2
119,51,219,2
120,51,54,2
121,51,289,2
122,52,64,1
123,52,262,2
124,53,211,1
125,53,27,1
126,53,282,3
127,54,192,1
128,54,119,3
129,55,144,1
130,56,246,1
131,56,177,1
132,57,122,1
133,57,165,1
134,57,43,2
135,58,185,1
136,59,241,1
137,59,150,2
138,60,193,1
139,60,164,2
140,60,24,1
141,60,134,1
