product_id,product_name,category,unit_price,cost_price
1,Sports_item_1,Sports,136.05,90.12
2,Beauty_item_2,Beauty,61.27,43.52
3,Electronics_item_3,Electronics,1024.77,792.68
4,Home & Kitchen_item_4,Home & Kitchen,3519.35,2295.38
5,Fashion_item_5,Fashion,910.93,491.18
6,Home & Kitchen_item_6,Home & Kitchen,1476.27,1122.98
7,Sports_item_7,Sports,2718.14,1359.68
8,Toys_item_8,Toys,725.14,519.05
9,Home & Kitchen_item_9,Home & Kitchen,3105.17,1628.67
10,Books_item_10,Books,102.74,59.09
11,Sports_item_11,Sports,2503.59,1599.69
12,Fashion_item_12,Fashion,999.32,779.94
13,Beauty_item_13,Beauty,516.93,397.83
14,Home & Kitchen_item_14,Home & Kitchen,2298.85,1252.48
15,Sports_item_15,Sports,2793.31,1781.05
16,Beauty_item_16,Beauty,161.67,95.5
17,Toys_item_17,Toys,89.44,57.29
18,Toys_item_18,Toys,1028.16,802.04
19,Fashion_item_19,Fashion,1868.57,1004.49
20,Books_item_20,Books,165.18,83.99
21,Sports_item_21,Sports,2572.74,1563.27
22,Toys_item_22,Toys,768.41,549.01
23,Toys_item_23,Toys,532.92,315.45
24,Fashion_item_24,Fashion,1926.32,1520.53
25,Fashion_item_25,Fashion,614.4,395.6
26,Electronics_item_26,Electronics,14598.09,7320.37
27,Beauty_item_27,Beauty,341.89,181.25
28,Electronics_item_28,Electronics,7735.54,3925.02
29,Fashion_item_29,Fashion,843.45,477.57
30,Sports_item_30,Sports,1623.26,1296.66
31,Home & Kitchen_item_31,Home & Kitchen,4008.66,3021.3
32,Books_item_32,Books,261.4,133.96
33,Toys_item_33,Toys,271.95,211.45
34,Books_item_34,Books,159.12,84.51
35,Electronics_item_35,Electronics,10595.6,6249.68
36,Home & Kitchen_item_36,Home & Kitchen,1366.22,1092.15
37,Electronics_item_37,Electronics,12900.46,8029.01
38,Toys_item_38,Toys,1176.91,817.99
39,Books_item_39,Books,301.97,153.84
40,Beauty_item_40,Beauty,114.85,79.24
41,Toys_item_41,Toys,1081.86,743.37
42,Books_item_42,Books,70.93,37.93
43,Books_item_43,Books,340.79,184.64
44,Home & Kitchen_item_44,Home & Kitchen,2615.55,1336.9
45,Electronics_item_45,Electronics,1393.91,978.11
46,Fashion_item_46,Fashion,1393.9,839.74
47,Sports_item_47,Sports,686.05,510.5
48,Fashion_item_48,Fashion,473.35,313.65
49,Beauty_item_49,Beauty,775.2,421.98
50,Beauty_item_50,Beauty,753.88,418.3
51,Electronics_item_51,Electronics,8598.16,5271.55
52,Fashion_item_52,Fashion,1931.61,1124.32
53,Books_item_53,Books,171.87,136.61
54,Home & Kitchen_item_54,Home & Kitchen,2696.26,1754.7
55,Electronics_item_55,Electronics,4015.12,2852.38
56,Electronics_item_56,Electronics,412.72,212.49
57,Fashion_item_57,Fashion,1218.75,734.3
58,Toys_item_58,Toys,1145.38,883.04
59,Sports_item_59,Sports,2155.43,1606.75
60,Beauty_item_60,Beauty,540.52,290.62
61,Books_item_61,Books,310.91,175.06
62,Home & Kitchen_item_62,Home & Kitchen,1637.51,1221.21
63,Beauty_item_63,Beauty,438.49,332.37
64,Books_item_64,Books,100.95,68.88
65,Electronics_item_65,Electronics,1440.11,997.88
66,Sports_item_66,Sports,2299.48,1553.25
67,Electronics_item_67,Electronics,4140.23,2109.04
68,Sports_item_68,Sports,402.37,276.3
69,Fashion_item_69,Fashion,1872.12,1052.06
70,Books_item_70,Books,299.31,227.46
71,Toys_item_71,Toys,639.43,448.1
72,Beauty_item_72,Beauty,655.71,379.13
73,Electronics_item_73,Electronics,4594.06,2297.89
74,Sports_item_74,Sports,2891.13,2241.39
75,Sports_item_75,Sports,2305.48,1207.43
76,Electronics_item_76,Electronics,6823.04,3620.08
77,Beauty_item_77,Beauty,32.42,22.2
78,Books_item_78,Books,385.12,296.87
79,Fashion_item_79,Fashion,1408.67,745.18
80,Fashion_item_80,Fashion,584.62,348.44
81,Home & Kitchen_item_81,Home & Kitchen,3822.86,2831.5
82,Home & Kitchen_item_82,Home & Kitchen,1943.98,1215.7
83,Toys_item_83,Toys,82.08,48.16
84,Home & Kitchen_item_84,Home & Kitchen,2272.89,1216.21
85,Toys_item_85,Toys,560.32,423.58
86,Beauty_item_86,Beauty,473.43,247.93
87,Books_item_87,Books,92.84,59.64
88,Toys_item_88,Toys,452.94,275.21
89,Books_item_89,Books,221.12,149.33
90,Home & Kitchen_item_90,Home & Kitchen,3990.4,2403.38
91,Home & Kitchen_item_91,Home & Kitchen,4033.17,2426.29
92,Beauty_item_92,Beauty,63.24,42.13
93,Home & Kitchen_item_93,Home & Kitchen,2951.87,2303.53
94,Fashion_item_94,Fashion,1465.82,1136.5
95,Electronics_item_95,Electronics,13643.54,9296.33
96,Fashion_item_96,Fashion,1079.14,720.04
97,Fashion_item_97,Fashion,1957.75,1432.98
98,Toys_item_98,Toys,154.33,113.21
99,Toys_item_99,Toys,229.53,145.57
100,Sports_item_100,Sports,670.86,474.21
101,Electronics_item_101,Electronics,13184.18,7740.55
102,Fashion_item_102,Fashion,209.92,123.76
103,Electronics_item_103,Electronics,10150.96,6076.65
104,Fashion_item_104,Fashion,592.32,328.93
105,Beauty_item_105,Beauty,408.06,237.81
106,Beauty_item_106,Beauty,590.19,308.66
107,Home & Kitchen_item_107,Home & Kitchen,3330.24,1902.46
108,Beauty_item_108,Beauty,401.64,235.29
109,Electronics_item_109,Electronics,10896.98,8538.79
110,Sports_item_110,Sports,2755.38,1859.96
111,Home & Kitchen_item_111,Home & Kitchen,2329.17,1736.37
112,Toys_item_112,Toys,829.49,460.42
113,Fashion_item_113,Fashion,1650.79,1037.79
114,Beauty_item_114,Beauty,167.41,97.86
115,Home & Kitchen_item_115,Home & Kitchen,1359.61,891.58
116,Beauty_item_116,Beauty,202.81,108.92
117,Home & Kitchen_item_117,Home & Kitchen,644.74,435.19
118,Toys_item_118,Toys,889.67,530.65
119,Electronics_item_119,Electronics,712.83,383.62
120,Electronics_item_120,Electronics,13737.48,8902.75
121,Fashion_item_121,Fashion,934.47,477.9
122,Toys_item_122,Toys,882.51,581.06
123,Books_item_123,Books,96.79,51.59
124,Home & Kitchen_item_124,Home & Kitchen,1935.44,1453.8
125,Toys_item_125,Toys,1042.39,709.72
126,Books_item_126,Books,296.46,158.47
127,Books_item_127,Books,243.49,170.46
128,Sports_item_128,Sports,642.1,490.59
129,Electronics_item_129,Electronics,3085.95,1833.19
130,Fashion_item_130,Fashion,1260.09,871.36
131,Toys_item_131,Toys,848.28,452.65
132,Toys_item_132,Toys,1023.87,675.6
133,Home & Kitchen_item_133,Home & Kitchen,2372.47,1884.52
134,Fashion_item_134,Fashion,1493.74,799.75
135,Electronics_item_135,Electronics,11396.78,6024.05
136,Books_item_136,Books,30.44,18.91
137,Fashion_item_137,Fashion,1987.48,1098.01
138,Home & Kitchen_item_138,Home & Kitchen,3373.04,1861.98
139,Beauty_item_139,Beauty,585.33,381.4
