customer_id,recency,frequency,monetary,cluster,segment
1,5,13,92587.31,2,Casual - عملاء عاديين
2,112,9,56041.85,1,At Risk - عملاء مش نشطين من فترة
3,128,9,69570.12,1,At Risk - عملاء مش نشطين من فترة
4,13,16,129204.47,2,Casual - عملاء عاديين
5,54,16,99978.91,2,Casual - عملاء عاديين
6,13,15,66183.36,2,Casual - عملاء عاديين
7,12,16,161494.06,0,VIP - عملاء بيإنفقوا كتير ونشطين
8,5,16,75457.2,2,Casual - عملاء عاديين
9,20,14,115464.9,2,Casual - عملاء عاديين
10,74,15,115892.83,2,Casual - عملاء عاديين
11,20,8,116205.77,2,Casual - عملاء عاديين
12,1,17,142808.29,0,VIP - عملاء بيإنفقوا كتير ونشطين
13,23,18,281978.76,0,VIP - عملاء بيإنفقوا كتير ونشطين
14,61,13,69971.38,2,Casual - عملاء عاديين
15,16,14,152426.67,2,Casual - عملاء عاديين
16,20,12,101019.94,2,Casual - عملاء عاديين
17,108,13,191845.85,1,At Risk - عملاء مش نشطين من فترة
18,83,16,233266.27,0,VIP - عملاء بيإنفقوا كتير ونشطين
19,22,16,96362.91,2,Casual - عملاء عاديين
20,174,11,83309.76,1,At Risk - عملاء مش نشطين من فترة
21,75,11,77528.45,2,Casual - عملاء عاديين
22,35,8,100815.42,2,Casual - عملاء عاديين
23,32,11,45538.21,2,Casual - عملاء عاديين
24,22,11,114355.92,2,Casual - عملاء عاديين
25,21,12,149468.24,2,Casual - عملاء عاديين
26,14,14,64814.79,2,Casual - عملاء عاديين
27,14,17,105808.27,2,Casual - عملاء عاديين
28,67,23,309278.08999999997,0,VIP - عملاء بيإنفقوا كتير ونشطين
29,4,13,121952.64,2,Casual - عملاء عاديين
30,79,10,148361.15,2,Casual - عملاء عاديين
31,22,17,153671.89,0,VIP - عملاء بيإنفقوا كتير ونشطين
32,14,12,91899.31,2,Casual - عملاء عاديين
33,71,7,66271.20999999999,2,Casual - عملاء عاديين
34,26,16,137014.01,2,Casual - عملاء عاديين
35,170,11,109115.75,1,At Risk - عملاء مش نشطين من فترة
36,122,13,128199.64,1,At Risk - عملاء مش نشطين من فترة
37,34,11,201117.92,2,Casual - عملاء عاديين
38,13,13,142885.42,2,Casual - عملاء عاديين
39,4,10,128660.74,2,Casual - عملاء عاديين
40,10,12,70058.06,2,Casual - عملاء عاديين
41,9,13,170068.28999999998,2,Casual - عملاء عاديين
42,76,15,132414.58,2,Casual - عملاء عاديين
43,5,15,200432.8,0,VIP - عملاء بيإنفقوا كتير ونشطين
44,132,6,56264.12,1,At Risk - عملاء مش نشطين من فترة
45,69,14,115819.36,2,Casual - عملاء عاديين
46,26,19,97217.06,2,Casual - عملاء عاديين
47,1,13,177058.97999999998,2,Casual - عملاء عاديين
48,7,17,192957.68,0,VIP - عملاء بيإنفقوا كتير ونشطين
49,100,17,163052.54,0,VIP - عملاء بيإنفقوا كتير ونشطين
50,49,19,151344.04,0,VIP - عملاء بيإنفقوا كتير ونشطين
51,162,9,103837.72,1,At Risk - عملاء مش نشطين من فترة
52,32,23,239140.0,0,VIP - عملاء بيإنفقوا كتير ونشطين
53,5,14,121585.76999999999,2,Casual - عملاء عاديين
54,146,13,191163.6,1,At Risk - عملاء مش نشطين من فترة
55,52,22,229676.26,0,VIP - عملاء بيإنفقوا كتير ونشطين
56,54,9,41961.44,2,Casual - عملاء عاديين
57,88,16,156069.87,0,VIP - عملاء بيإنفقوا كتير ونشطين
58,62,14,119377.37,2,Casual - عملاء عاديين
59,23,18,272232.08999999997,0,VIP - عملاء بيإنفقوا كتير ونشطين
60,42,10,79082.87,2,Casual - عملاء عاديين
61,26,20,146109.28,0,VIP - عملاء بيإنفقوا كتير ونشطين
62,174,9,90642.24,1,At Risk - عملاء مش نشطين من فترة
63,48,17,154714.29,0,VIP - عملاء بيإنفقوا كتير ونشطين
64,55,18,243937.16,0,VIP - عملاء بيإنفقوا كتير ونشطين
65,23,10,96171.98,2,Casual - عملاء عاديين
66,61,10,98963.23,2,Casual - عملاء عاديين
67,3,16,175125.42,0,VIP - عملاء بيإنفقوا كتير ونشطين
68,73,19,220324.88999999998,0,VIP - عملاء بيإنفقوا كتير ونشطين
69,54,9,47466.68,2,Casual - عملاء عاديين
70,84,7,12908.1,1,At Risk - عملاء مش نشطين من فترة
71,6,8,154745.27,2,Casual - عملاء عاديين
72,34,8,88845.56,2,Casual - عملاء عاديين
73,34,21,276022.16,0,VIP - عملاء بيإنفقوا كتير ونشطين
74,49,13,138523.66999999998,2,Casual - عملاء عاديين
75,78,7,96226.13,2,Casual - عملاء عاديين
