date_id,revenue,n_orders,day_of_week,month,revenue_zscore_by_weekday,anomaly,anomaly_score
2023-01-01,92474.93,15,6,1,-0.7795698959316849,1,0.24025825962193342
2023-01-02,61376.68,16,0,1,-1.13649644168805,1,0.12995565769780915
2023-01-03,96123.45,8,1,1,-0.8088970974143688,1,0.17563745669428382
2023-01-04,128056.69,16,2,1,-0.4834908699422958,1,0.2648880784207943
2023-01-05,133093.04,11,3,1,-0.6027280082048462,1,0.2427213444817034
2023-01-06,234941.68,25,4,1,-0.5333299707601606,1,0.26682799985587435
2023-01-07,309655.92,27,5,1,-0.4709240134458391,1,0.25631985728178874
2023-01-08,74735.47,8,6,1,-0.851949706613714,1,0.1573231504340742
2023-01-10,52963.11,10,1,1,-1.0018048366169916,1,0.14392417573637284
2023-01-11,61624.92,8,2,1,-0.650445892759704,1,0.14316629924380686
2023-01-12,183882.15,15,3,1,-0.4102828091351437,1,0.2766211484056348
2023-01-13,131761.95,16,4,1,-0.7610299345103658,1,0.25565479142684017
2023-01-14,151884.7,21,5,1,-1.004678694833808,1,0.20613812424258326
2023-01-15,137739.68,13,6,1,-0.5948825359123056,1,0.26317166603280434
2023-01-16,112731.63,15,0,1,-0.8624806498946247,1,0.22963510712497848
2023-01-17,113155.73999999999,13,1,1,-0.7327702513945406,1,0.2485364891778995
2023-01-18,247971.31,11,2,1,-0.18212379635324588,1,0.22882297042646627
2023-01-19,97283.76000000001,11,3,1,-0.7384130796334007,1,0.2308305635360302
2023-01-20,163729.37,16,4,1,-0.6904833225431938,1,0.25920124256767985
2023-01-21,123321.19,22,5,1,-1.1013117003932,1,0.1657622977587262
2023-01-22,97852.70999999999,11,6,1,-0.757627700493402,1,0.23173918793089016
2023-01-23,86790.76,13,0,1,-1.0008939485709998,1,0.19003323884093803
2023-01-24,77048.24,11,1,1,-0.8941548974204685,1,0.1950080381028808
2023-01-25,104587.35,11,2,1,-0.5424735554135621,1,0.2285217816141148
2023-01-26,199306.09,17,3,1,-0.3518399026983279,1,0.28649544814000316
2023-01-27,261590.05,21,4,1,-0.47452158966629604,1,0.27359621160548653
2023-01-28,176954.4,17,5,1,-0.9198655727955048,1,0.2186094900399987
2023-01-29,119608.67,11,6,1,-0.6688599327030748,1,0.23889909699605527
2023-01-30,114464.17,11,0,1,-0.8532362962361405,1,0.22112960789086927
2023-01-31,115761.31,12,1,1,-0.7211244993445294,1,0.2447030275122299
2023-02-01,190070.6,16,2,2,-0.3276387263211533,1,0.27457506694590705
2023-02-02,205601.83,15,3,2,-0.3279846916581839,1,0.27753552787368174
2023-02-03,180402.74,23,4,2,-0.6536880552499593,1,0.25246527139901903
2023-02-04,195221.66,21,5,2,-0.858065736671203,1,0.22949119467242912
2023-02-05,161215.22,15,6,2,-0.49909860895746,1,0.269823483762046
2023-02-06,237620.65,16,0,2,-0.19610742391339175,1,0.26818176664967003
2023-02-07,43519.99,10,1,2,-1.0440114302216545,1,0.13154366776169024
2023-02-08,76992.12,11,2,2,-0.6118253467974382,1,0.20895674675475978
2023-02-09,87618.54,14,3,2,-0.7750355994403529,1,0.23431398300333317
2023-02-10,173705.74,14,4,2,-0.6684671853875854,1,0.2569519566473707
2023-02-11,15969.22,2,5,2,-1.4644933791792347,1,0.0003292276306927633
2023-02-12,181588.61,14,6,2,-0.4159719460741961,1,0.2739459244103824
2023-02-13,143293.99,11,0,2,-0.6994083603787026,1,0.23573769477869572
2023-02-14,135345.59,12,1,2,-0.6335913803118447,1,0.25259525117406684
2023-02-15,127970.88,15,2,2,-0.4837065259530864,1,0.26273902976491725
2023-02-16,93131.38,16,3,2,-0.7541468776013717,1,0.24007890112618885
2023-02-17,285117.99,23,4,2,-0.4225994622763813,1,0.26989935099459
2023-02-18,143990.34,19,5,2,-1.0313860474584626,1,0.19924302273817945
2023-02-19,191409.53999999998,15,6,2,-0.37590099385121634,1,0.275531942097734
2023-02-20,109920.92,13,0,2,-0.8774778201022037,1,0.222197826962042
2023-02-21,255694.3,12,1,2,-0.09568557229337049,1,0.2297426754504373
2023-02-22,70000.16,10,2,2,-0.6293974036813418,1,0.18841491417479805
2023-02-23,135815.83,14,3,2,-0.592411074839111,1,0.2660821933474728
2023-02-24,186243.69,22,4,2,-0.6407980806079753,1,0.2593702988108077
2023-02-25,305066.96,27,5,2,-0.4864488910673858,1,0.25853396771108045
2023-02-26,138947.28,12,6,2,-0.5899553363594657,1,0.25671952007283083
2023-02-27,231961.26,13,0,2,-0.22630436173375354,1,0.25207964489089624
2023-02-28,205219.66,14,1,2,-0.3212850158905773,1,0.2711363365854843
2023-03-01,141721.2,13,2,3,-0.44914949112853386,1,0.2606552611945175
2023-03-02,154500.6,10,3,3,-0.5216125457406171,1,0.22849865681139186
2023-03-03,203823.16,17,4,3,-0.6020032060551166,1,0.2644100088223564
2023-03-04,200158.1,20,5,3,-0.8413653019569958,1,0.23122228347434903
2023-03-05,191428.83,14,6,3,-0.3758222875913833,1,0.2705491347633066
2023-03-06,284458.52999999997,18,0,3,0.05380653324410582,1,0.24108300488737605
2023-03-07,112420.31,15,1,3,-0.7360573000749213,1,0.2522235077083582
2023-03-08,178041.45,17,2,3,-0.3578701504232663,1,0.2786137423661476
2023-03-09,137591.26,12,3,3,-0.5856837866510659,1,0.25777663635597997
2023-03-10,290608.41,20,4,3,-0.4104830472113933,1,0.2683282329038705
2023-03-11,219612.62,15,5,3,-0.7755488550527007,1,0.2326244728802066
2023-03-12,209314.14,15,6,3,-0.3028473857742251,1,0.27384993926092055
2023-03-13,67555.94,11,0,3,-1.1035256215120506,1,0.14328210759938564
2023-03-14,198909.54,11,1,3,-0.34948847729281024,1,0.24207551056929988
2023-03-15,93933.96,13,2,3,-0.5692474464378829,1,0.23989616613354314
2023-03-16,207074.46,16,3,3,-0.3224047440374042,1,0.2799286578874499
2023-03-17,296967.93,27,4,3,-0.39644867753947505,1,0.27266509067491795
2023-03-18,142565.94,17,5,3,-1.036204924869495,1,0.1991566385679892
